"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"ANC25LA032","ACC","199975","2025-03-07T20:10:00Z","Redding","California","United States",,"N32371",,"false","Aviation","",,,,,,,,,,,,,,"PIPER","PA-32-300",,,,"false",,,,,,,,,"Landing","In work",,,"",""
"ANC25LA027","ACC","199893","2025-03-07T18:40:00Z","Sleetmute","Alaska","United States",,"N304PT","304","false","Aviation","",,,"None","0","0","0","0",,,,,"61.699624","-157.17343","PILATUS","PC-12/45","AIR","SLQ","Sleetmute","false","1",,"NSCH","BUS","135","Substantial","IMC","Trygg Holdings, LLC","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199893/pdf"
"ANC25LA030","ACC","199961","2025-03-07T15:30:00Z","Highline Lake","Alaska","United States",,"N1718R","18502439","false","Aviation","",,,"None","0","0","0","0",,,,,"61.737921","-151.38352","CESSNA","A185F","AIR",,"NONE","false","1",,,"PERS","091","Substantial","VMC",,"Taxi","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199961/pdf"
"CEN25LA112","ACC","199818","2025-03-07T15:11:00Z","Romeo","Michigan","United States",,"N7550g","17259250","false","Aviation","",,,"None","0","0","0","0","0",,,,"42.795288999999997","-82.974697000000006","CESSNA","172L","AIR","D98","ROMEO STATE","false","1",,,"INST","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199818/pdf"
"ERA25LA136","ACC","199808","2025-03-06T12:45:00Z","North Myrtle Beach","South Carolina","United States",,"N744SM","4581","false","Aviation","",,,"Minor","0","0","1","1",,,,,"33.811750000000004","-78.723944000000003","CIRRUS DESIGN CORP","SR22","AIR","CRE","Grand Strand Airport","false","1",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199808/pdf"
"CEN25LA111","ACC","199809","2025-03-06T12:45:00Z","Pearland","Texas","United States",,"N54479","28-7425144","false","Aviation","",,,"Minor","0","0","1","1","0",,,,"29.504342000000001","-95.231048999999999","PIPER","PA-28-140","AIR","LVJ","PEARLAND RGNL","false","1",,"NSCH","PERS","091","Substantial","VMC",,"Initial Climb","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199809/pdf"
"CEN25LA110","ACC","199807","2025-03-05T03:10:00Z","Weslaco","Texas","United States",,"N3341V","15076467","false","Aviation","",,,"None","0","0","0","0",,,,,"26.178708","-97.974006000000003","CESSNA","150M","AIR","TXW",,"false","1",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199807/pdf"
"WPR25FA108","ACC","199801","2025-03-04T16:55:00Z","Renslow","Washington","United States",,"N6167F","A1500437","false","Aviation","",,,"Fatal","1","0","0","1",,,,,"47.024051999999998","-120.22701000000001","CESSNA","A150L","AIR",,,"false","1",,,"PERS","091","Destroyed",,,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199801/pdf"
"CEN25LA109","ACC","199796","2025-03-04T13:40:00Z","San Antonio","Texas","United States",,"N524HJ","42000077","false","Aviation","",,,"None","0","0","0","0","0",,,,"29.533957999999998","-98.469057000000006","HONDA AIRCRAFT CO LLC","HA-420","AIR","SAT",,"false","2",,,"POSI","091","Substantial",,,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199796/pdf"
"GAA25WA100","ACC","199803","2025-03-04T05:00:00Z","Zell am See",,"Austria",,"LX-ARA",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"GRUMMAN","AA5","AIR","LOWZ","Zell am See","false",,,,"PERS","NUSN","Destroyed",,,"Approach","N/A",,"Prelim","","None"
"GAA25WA121","ACC","199909","2025-03-03T15:40:00Z","Aarhus",,"Denmark",,"D-EGMG",,"false","Aviation","",,,"None","0","0","0","0","0",,,,,,"PIPER","PA46",,,,"false",,,,,,,,,"Approach","N/A",,,"","None"
"DCA25WA154","INC","199793","2025-03-03T02:39:00Z","Bogotá",,"Colombia",,"YV622T",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"BOEING","737-400",,,,"false",,,,,"NUSC",,,"Turpial Airlines","Initial Climb","N/A",,,"","None"
"ANC25LA024","ACC","199842","2025-03-02T15:30:00Z","Plamer","Alaska","United States",,"N6999","18-8881","false","Aviation","",,,"Minor","0","0","1","1",,,,,"61.5","-148.88999999999999","PIPER","PA-18-150","AIR",,,"false","1",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199842/pdf"
"DCA25LA156","ACC","199820","2025-03-02T05:00:00Z","San Diego","California","United States",,"N8776L","67761","false","Aviation","",,,"Serious","0","1","0","1",,,,,"0","0","BOEING","737-8","AIR",,,"false","2",,"SCHD",,"121","None","Unknown","SOUTHWEST AIRLINES CO","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199820/pdf"
"CEN25FA106","ACC","199781","2025-03-01T13:15:00Z","Matheson","Colorado","United States",,"N902T","70284","false","Aviation","",,,"Fatal","1","0","0","1",,,,,"39.120457000000002","-103.89491","VANS","RV7","AIR",,,"true","1",,,"PERS","091","Substantial","VMC",,"Unknown","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199781/pdf"
"ERA25LA132","ACC","199785","2025-03-01T13:06:00Z","New Smyrna Beach","Florida","United States",,"N923EP",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"TEXTRON AVIATION INC","172S",,,,"false",,,,,,,"VMC","EPIC AVIATION INC","Takeoff","In work",,,"",""
"DCA25FA148","INC","199780","2025-03-01T09:00:00Z","Newark","New Jersey","United States",,"N178FE",,"false","Aviation","",,,"None","0","0","0","0","0",,,,,,"BOEING","767",,,,"false",,,"SCHD",,"121",,"VMC","FEDERAL EXPRESS CORP","Initial Climb","In work",,,"",""
"CEN25LA107","ACC","199790","2025-02-28T19:00:00Z","Alvord","Texas","United States",,"N2027T","0318","false","Aviation","",,,"None","0","0","0","0",,,,,"33.387013000000003","-97.731700000000004","SCHWEIZER","269C-1","HELI",,"Private Residence","false","1",,,"PERS","091","Substantial","VMC",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199790/pdf"
"ERA25LA140","ACC","199829","2025-02-28T15:47:00Z","Arcadia","Florida","United States",,"N3080N","13338","false","Aviation","",,,"None","0","0","0","0",,,,,"27.195843","-81.837261999999996","CESSNA","120","AIR","X06","ARCADIA MUNI","false","1",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199829/pdf"
"ANC25LA022","ACC","199804","2025-02-28T12:30:00Z","Anchor Point","Alaska","United States",,"N3798Z","18-7493","false","Aviation","",,,"Minor","0","0","1","1",,,,,"59.79466","-151.84683999999999","PIPER","PA-18-150","AIR","AK00","Anchor River Airpark","false","1",,,"PERS","091","Substantial","VMC",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199804/pdf"
"GAA25WA112","ACC","199848","2025-02-28T12:30:00Z","Chamonix",,"France",,"F-BMFV",,"false","Aviation","",,,"Serious","0","1","1","2",,,,,,,"JODEL","D140","AIR",,,"false",,,,,"NUSN","Substantial",,,"Enroute","N/A",,"Prelim","","None"
"ANC25LA021","ACC","199788","2025-02-28T12:00:00Z","Lihue","Hawaii","United States",,"N699AV","GA8-06-106","false","Aviation","",,,"Minor","0","0","1","1",,,,,"21.980398999999998","-159.34139999999999","GIPPSLAND","GA-8","AIR","PHLI","Lihue Airport","false","1",,,"BUS","091","Substantial","VMC","AIR VENTURES HAWAII LLC","Taxi","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199788/pdf"
