EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType
ACC,2022-09-01T22:18:00Z,False,Aviation,4/20/2023 0:00,Serious,0.0,1.0,0.0,1.0,BOEING,737-824,AIR,,false,2,TF,,121,,VMC,Enroute,Completed,Final
ACC,2022-09-01T20:00:00Z,False,Aviation,9/23/2022 0:00,,0.0,0.0,0.0,0.0,AERONCA,7AC,AIR,MRT,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-09-01T18:07:00Z,False,Aviation,10/23/2024 0:00,Fatal,1.0,2.0,0.0,3.0,,,,,,,,,,,,,,
ACC,2022-09-01T18:00:00Z,False,Aviation,3/22/2024 0:00,Fatal,1.0,1.0,0.0,2.0,Diamond Aircraft Industries,DA 42,AIR,ORL,false,2,REC,INST,091,Substantial,IMC,Taxi,Completed,Final
ACC,2022-09-01T11:20:00Z,False,Aviation,12/20/2022 0:00,Minor,0.0,0.0,2.0,2.0,CESSNA,P210N,AIR,,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-09-01T08:35:00Z,False,Aviation,9/11/2024 0:00,Minor,0.0,0.0,2.0,2.0,SIKORSKY,S-61N,HELI,,false,2,TS,EXLD,133,Substantial,VMC,Takeoff,Completed,Final
ACC,2022-08-31T20:05:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,BELL,205,HELI,,false,,,,NUSN,Substantial,,Initial Climb,,Prelim
ACC,2022-08-31T18:30:00Z,False,Aviation,12/8/2022 0:00,Minor,0.0,0.0,2.0,2.0,CHRISTEN INDUSTRIES INC,A-1,AIR,,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-08-31T17:40:00Z,False,Aviation,7/10/2024 0:00,,0.0,0.0,0.0,0.0,BEECH,A36,AIR,,false,1,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final
ACC,2022-08-31T15:35:00Z,False,Aviation,12/8/2022 0:00,,0.0,0.0,0.0,0.0,BEECH,C23,AIR,KFCM,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-08-31T14:37:00Z,False,Aviation,,Serious,0.0,1.0,0.0,1.0,CESSNA,208,AIR,OMAD,false,1,,,NUSN,Destroyed,,Landing,,Prelim
ACC,2022-08-31T12:15:00Z,False,Aviation,12/15/2022 0:00,,0.0,0.0,0.0,0.0,NAVION,NAVION,AIR,2B2,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-08-31T11:35:00Z,False,Aviation,5/11/2023 0:00,Minor,0.0,0.0,1.0,1.0,SUTPHIN JOHN E,RANS S-12,AIR,01J,true,1,REC,INST,091,Substantial,VMC,Approach,Completed,Final
ACC,2022-08-31T04:00:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,AYRES,S2R,AIR,,false,,,,NUSN,Minor,,Takeoff,,Prelim
ACC,2022-08-30T16:30:00Z,False,Aviation,2/9/2023 0:00,Minor,0.0,0.0,4.0,4.0,ROBINSON HELICOPTER,R44,HELI,,false,1,REC,BUS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-08-30T13:20:00Z,False,Aviation,,,,,,,MOONEY,M20J,AIR,,false,,,,129,Substantial,,Maneuvering,,Prelim
ACC,2022-08-30T11:55:00Z,False,Aviation,6/6/2023 0:00,Serious,0.0,1.0,2.0,3.0,CESSNA,172N,AIR,,false,1,REC,INST,091,Substantial,VMC,Enroute,Completed,Final
ACC,2022-08-30T11:22:00Z,False,Aviation,,Fatal,5.0,0.0,0.0,5.0,CESSNA,210,AIR,,false,,,,UNK,Destroyed,,Takeoff,,Prelim
ACC,2022-08-30T10:15:00Z,False,Aviation,8/16/2023 0:00,,0.0,0.0,0.0,0.0,CESSNA,182K,AIR,TVY,false,1,REC,INST,091,Substantial,VMC,Taxi,Completed,Final
ACC,2022-08-30T04:00:00Z,False,Aviation,,,,,,,CESSNA,208B,AIR,,false,,,,NUSC,Substantial,,Landing,,Prelim
ACC,2022-08-29T22:55:00Z,False,Aviation,2/28/2024 0:00,,0.0,0.0,0.0,0.0,MD HELICOPTERS INC,369E,HELI,LVJ,false,1,TS,INST,PUBU,Substantial,VMC,Emergency Descent,Completed,Final
ACC,2022-08-29T19:30:00Z,False,Aviation,12/8/2022 0:00,,0.0,0.0,0.0,0.0,PIPER,PA-18-135,AIR,,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-08-29T18:17:00Z,False,Aviation,5/11/2023 0:00,Minor,0.0,0.0,1.0,1.0,PIPER,PA-28R-180,AIR,DDH,false,1,REC,PERS,091,Substantial,VMC,Approach,Completed,Final
ACC,2022-08-29T17:43:00Z,False,Aviation,4/20/2023 0:00,Serious,0.0,1.0,0.0,1.0,BOEING,717-200,AIR,,false,2,TF,,121,,VMC,Enroute,Completed,Final
ACC,2022-08-29T13:50:00Z,False,Aviation,9/26/2024 0:00,Fatal,1.0,0.0,0.0,1.0,AERONCA,7AC,AIR,JAU,false,1,REC,PERS,091,Destroyed,VMC,Initial Climb,Completed,Final
ACC,2022-08-29T13:04:00Z,False,Aviation,11/7/2023 0:00,Fatal,1.0,0.0,0.0,1.0,STORY CHARLES BRAD,TT FOX,AIR,4AK6,true,1,REC,FLTS,091,Substantial,VMC,Approach,Completed,Final
ACC,2022-08-29T12:40:00Z,False,Aviation,2/23/2023 0:00,,0.0,0.0,0.0,0.0,PIPER,PA-22-135,AIR,RVF,false,1,REC,INST,091,Substantial,VMC,Approach,Completed,Final
ACC,2022-08-29T06:18:00Z,False,Aviation,,Fatal,3.0,0.0,0.0,3.0,CESSNA,R182,AIR,,false,,,,NUSN,Destroyed,,Enroute,,Prelim
ACC,2022-08-28T18:34:00Z,False,Aviation,5/16/2024 0:00,Fatal,2.0,0.0,0.0,2.0,SEA & SKY INC,KRUCKER CYGNET,WSFT,,false,1,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final
ACC,2022-08-28T14:45:00Z,False,Aviation,12/20/2023 0:00,,0.0,0.0,0.0,0.0,CESSNA,172I,AIR,PVT,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
