index,EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType
2699,ACC,2021-04-06T11:30:00Z,False,Aviation,5/24/2023 0:00,Serious,0.0,1.0,0.0,1.0,BEECH,A36,AIR,X06,false,1,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final
2700,ACC,2021-04-05T19:39:00Z,False,Aviation,10/13/2022 0:00,Fatal,1.0,0.0,0.0,1.0,EVOLUTION AIRCRAFT INC,REVOLT,WSFT,,false,1,REC,PERS,091,Substantial,VMC,Maneuvering,Completed,Final
2701,ACC,2021-04-05T17:00:00Z,False,Aviation,9/14/2022 0:00,,0.0,0.0,0.0,0.0,ROBINSON HELICOPTER,R44,HELI,,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2702,ACC,2021-04-05T16:00:00Z,False,Aviation,9/20/2021 0:00,Minor,0.0,0.0,1.0,1.0,MAULE,MT7,AIR,,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2703,ACC,2021-04-05T09:50:00Z,False,Aviation,7/20/2022 0:00,Serious,0.0,2.0,0.0,2.0,PIPER,PA-23-250,AIR,M91,false,2,REC,INST,091,Substantial,VMC,Takeoff,Completed,Final
2704,ACC,2021-04-04T18:30:00Z,False,Aviation,8/20/2021 0:00,Serious,0.0,1.0,1.0,2.0,Destiny Powered Parachutes,2000,PPAR,,false,1,REC,PERS,091,Substantial,VMC,Maneuvering,Completed,Final
2705,ACC,2021-04-04T16:30:00Z,False,Aviation,11/16/2021 0:00,Minor,0.0,0.0,1.0,1.0,Phantom Aeronautics,Phantom II,AIR,PVT,false,1,REC,PERS,091,Substantial,VMC,Approach,Completed,Final
2706,ACC,2021-04-03T17:35:00Z,False,Aviation,7/20/2022 0:00,Fatal,1.0,0.0,0.0,1.0,MAGNUS AIRCRAFT LLC,FUSION 212,AIR,,false,1,REC,PERS,091,Substantial,VMC,Maneuvering,Completed,Final
2707,ACC,2021-04-03T16:30:00Z,False,Aviation,5/3/2023 0:00,Serious,0.0,1.0,0.0,1.0,ROBINSON HELICOPTER CO,R66,HELI,58N,false,1,TS,PERS,091,Substantial,VMC,Landing,Completed,Final
2708,ACC,2021-04-03T13:15:00Z,False,Aviation,1/31/2023 0:00,,0.0,0.0,0.0,0.0,CESSNA,208B,AIR,AFA,false,1,TP,BUS,135,Substantial,IMC,Unknown,Completed,Final
2709,ACC,2021-04-03T12:48:00Z,False,Aviation,2/24/2023 0:00,,0.0,0.0,0.0,0.0,MOONEY,M20C,AIR,CGS,false,1,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final
2710,ACC,2021-04-03T12:27:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,RANS,S6,AIR,LERN,false,,,,NUSN,Substantial,,Standing,,Prelim
2711,ACC,2021-04-03T11:22:00Z,False,Aviation,9/20/2021 0:00,Minor,0.0,0.0,1.0,1.0,CESSNA,172,AIR,SZT,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2712,ACC,2021-04-03T11:13:00Z,False,Aviation,8/20/2021 0:00,Minor,0.0,0.0,1.0,1.0,CESSNA,180,AIR,pvt,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2713,ACC,2021-04-03T07:30:00Z,False,Aviation,9/20/2023 0:00,,0.0,0.0,0.0,0.0,BEECH,B35,AIR,T79,false,1,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final
2714,ACC,2021-04-02T21:30:00Z,False,Aviation,,Minor,0.0,0.0,1.0,1.0,PIPER,PA46,AIR,,false,,,,UNK,Substantial,,Unknown,,Prelim
2715,INC,2021-04-02T17:55:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,PIPER,PA-34-200T,AIR,MRTR,false,,,,129,Unknown,VMC,Takeoff,,Prelim
2716,ACC,2021-04-02T12:35:00Z,False,Aviation,8/20/2021 0:00,,0.0,0.0,0.0,0.0,CESSNA,180,AIR,18V,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2717,INC,2021-04-02T11:30:00Z,False,Aviation,,,,,,,BOEING,737,AIR,LMML,false,,,,129,Unknown,,Unknown,,Prelim
2718,ACC,2021-04-01T17:16:00Z,False,Aviation,,Fatal,1.0,0.0,0.0,1.0,CESSNA,182,AIR,,false,,,,NUSN,Substantial,,Initial Climb,,Prelim
2719,ACC,2021-04-01T16:00:00Z,False,Aviation,8/16/2022 0:00,,0.0,0.0,0.0,0.0,PIPER,PA-28-140,AIR,3AU,false,1,REC,PERS,091,Substantial,VMC,Approach,Completed,Final
2720,ACC,2021-04-01T12:30:00Z,False,Aviation,8/20/2021 0:00,,0.0,0.0,0.0,0.0,CESSNA,182,AIR,AUS,false,1,REC,PERS,091,Substantial,VMC,Taxi,Completed,Final
2721,ACC,2021-04-01T09:45:00Z,False,Aviation,,,,,,,AIR TRACTOR,AT401,,,false,,,,,,,Enroute,,
2722,INC,2021-04-01T00:10:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,PIPER,PA28R,AIR,,false,1,,,NUSN,Minor,,Landing,,Prelim
2723,ACC,2021-03-31T15:30:00Z,False,Aviation,8/20/2021 0:00,,0.0,0.0,0.0,0.0,AYRES CORPORATION,S2R-G6,AIR,,false,1,TP,AAPL,137,Destroyed,VMC,Takeoff,Completed,Final
