index,EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType,FatalYN,DaysUntilPublished
2491,ACC,2021-05-21T04:00:00Z,False,Aviation,?,?,?,?,?,?,BEECH,B350,AIR,?,False,,?,?,ARMF,Substantial,?,?,?,Prelim,0,0.7389060887512899
2492,ACC,2021-05-20T19:45:00Z,False,Aviation,7/16/2021 0:00,Minor,0.0,0.0,1.0,1.0,PIPER,PA-28-140,AIR,I23,False,0.125,REC,INST,091,Substantial,VMC,Takeoff,Completed,Final,0,0.024767801857585134
2493,ACC,2021-05-20T16:00:00Z,False,Aviation,5/17/2022 0:00,Minor,0.0,0.0,1.0,1.0,PILATUS,B4-PC11,GLI,3B3,False,0.0,?,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.18214654282765735
2494,ACC,2021-05-20T13:00:00Z,False,Aviation,9/20/2021 0:00,Minor,0.0,0.0,1.0,1.0,ROBERT TREMBLY,JA20 HIGHLANDER,AIR,?,False,0.125,REC,PERS,091,Substantial,VMC,Standing,Completed,Final,0,0.058823529411764705
2495,INC,2021-05-20T11:45:00Z,False,Aviation,?,?,?,?,?,?,BOEING,737,AIR,?,False,,?,?,NUSC,Substantial,?,Standing,?,Prelim,0,0.7394220846233229
2496,ACC,2021-05-20T10:30:00Z,False,Aviation,6/28/2023 0:00,Serious,0.0,1.0,0.0,1.0,MCCLURE B J,GLASAIR III,AIR,EUG,True,0.125,REC,PERS,091,Destroyed,VMC,Approach,Completed,Final,0,0.39215686274509803
2497,ACC,2021-05-20T09:30:00Z,False,Aviation,6/22/2023 0:00,Serious,0.0,2.0,0.0,2.0,MOONEY AIRCRAFT CORP.,M20K,AIR,?,False,0.125,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final,0,0.3890608875128999
2498,ACC,2021-05-19T11:00:00Z,False,Aviation,2/18/2022 0:00,Minor,0.0,0.0,1.0,1.0,CESSNA,T210,AIR,N13,False,0.125,REC,AOBV,091,Substantial,VMC,Landing,Completed,Final,0,0.1372549019607843
2499,ACC,2021-05-19T04:00:00Z,False,Aviation,?,Minor,0.0,0.0,4.0,4.0,CESSNA,210,AIR,?,False,0.125,?,?,NUSN,Substantial,?,Approach,?,Prelim,0,0.739938080495356
2500,ACC,2021-05-18T17:10:00Z,False,Aviation,?,?,?,?,?,?,CESSNA,172,AIR,?,False,,?,?,NUSN,Substantial,?,Approach,?,Prelim,0,0.740454076367389
2501,ACC,2021-05-18T16:40:00Z,False,Aviation,9/20/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,182P,AIR,MEV,False,0.125,?,OWRK,091,Substantial,VMC,Approach,Completed,Final,0,0.059855521155830746
2502,ACC,2021-05-18T14:30:00Z,False,Aviation,12/6/2022 0:00,Fatal,1.0,0.0,0.0,1.0,BELL,OH58A,HELI,?,False,0.125,TS,AAPL,137,Destroyed,VMC,Maneuvering,Completed,Final,1,0.28792569659442724
2503,ACC,2021-05-18T14:20:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,PIPER,PA25,AIR,?,False,0.125,?,AAPL,NUSC,Destroyed,?,Maneuvering,?,Prelim,0,0.740454076367389
2504,ACC,2021-05-18T14:00:00Z,False,Aviation,9/20/2021 0:00,Minor,0.0,0.0,1.0,1.0,Harry Crosby (Vans),RV-6,AIR,C83,True,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.059855521155830746
2505,ACC,2021-05-18T13:25:00Z,False,Aviation,8/19/2022 0:00,Fatal,1.0,0.0,0.0,1.0,AIR TRACTOR INC,AT-502A,AIR,?,False,0.125,TS,AAPL,137,Substantial,VMC,Maneuvering,Completed,Final,1,0.23168214654282765
2506,ACC,2021-05-17T20:00:00Z,False,Aviation,2/2/2023 0:00,Minor,0.0,0.0,1.0,1.0,FLIGHT DESIGN GMBH,CTLS,AIR,RAC,False,0.125,REC,INST,091,Destroyed,VMC,Approach,Completed,Final,0,0.31836945304437564
2507,ACC,2021-05-17T18:46:00Z,False,Aviation,?,Fatal,2.0,0.0,2.0,4.0,ROBINSON,R66,HELI,?,False,,?,?,NUSN,Destroyed,?,Enroute,?,Prelim,1,0.740970072239422
2508,ACC,2021-05-17T18:15:00Z,False,Aviation,9/20/2021 0:00,?,0.0,0.0,0.0,0.0,GOODSELL LYNN A,CLASSIC 4,AIR,?,True,0.125,REC,PERS,091,Substantial,VMC,Maneuvering,Completed,Final,0,0.060371517027863766
2509,ACC,2021-05-17T14:30:00Z,False,Aviation,9/20/2021 0:00,?,0.0,0.0,0.0,0.0,STEARMAN AIRCRAFT,4E,AIR,PTV,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.060371517027863766
2510,ACC,2021-05-17T14:15:00Z,False,Aviation,7/16/2021 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA28,AIR,48Y,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.02631578947368421
2511,ACC,2021-05-17T13:08:00Z,False,Aviation,8/16/2023 0:00,Fatal,1.0,0.0,0.0,1.0,CESSNA,182,AIR,?,False,0.125,REC,AOBV,091,Destroyed,VMC,Enroute,Completed,Final,1,0.41898864809081526
2512,ACC,2021-05-17T12:00:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,WEATHERLY,620B,AIR,?,False,0.125,?,AAPL,NUSC,Substantial,?,Maneuvering,?,Prelim,0,0.740970072239422
2513,ACC,2021-05-16T13:00:00Z,False,Aviation,8/20/2021 0:00,Serious,0.0,1.0,1.0,2.0,I.C.A.-BRASOV (ROMANIA),IS-28B2,GLI,55LL,False,0.0,NONE,INST,091,Substantial,VMC,Initial Climb,Completed,Final,0,0.04489164086687306
2514,ACC,2021-05-16T11:45:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,CESSNA,172,AIR,?,False,,?,?,NUSN,Substantial,?,Landing,?,Prelim,0,0.7414860681114551
2515,ACC,2021-05-15T21:15:00Z,False,Aviation,8/19/2022 0:00,?,0.0,0.0,0.0,0.0,CIRRUS DESIGN CORP,SR22,AIR,?,False,0.125,REC,PERS,091,Substantial,IMC,Enroute,Completed,Final,0,0.2332301341589267
2516,ACC,2021-05-15T20:00:00Z,False,Aviation,9/20/2021 0:00,?,0.0,0.0,0.0,0.0,DIAMOND AIRCRAFT IND INC,DA 40,AIR,1U7,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.06140350877192982
2517,ACC,2021-05-15T16:47:00Z,False,Aviation,8/30/2023 0:00,?,0.0,0.0,0.0,0.0,ZENITH,Zodiac 601 XL,AIR,HZD,True,0.125,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final,0,0.42724458204334365
2518,ACC,2021-05-15T15:45:00Z,False,Aviation,12/6/2022 0:00,Serious,0.0,2.0,0.0,2.0,CESSNA,210,AIR,?,False,0.125,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final,0,0.2894736842105263
2519,ACC,2021-05-15T15:20:00Z,False,Aviation,?,Serious,0.0,1.0,1.0,2.0,CESSNA,182,AIR,?,False,,?,?,NUSN,Substantial,?,Enroute,?,Prelim,0,0.7420020639834881
2520,ACC,2021-05-15T14:10:00Z,False,Aviation,9/20/2021 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-28R-200,AIR,HND,False,0.125,REC,INST,091,Substantial,VMC,Initial Climb,Completed,Final,0,0.06140350877192982
2521,ACC,2021-05-15T11:00:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,150,AIR,12J,False,0.125,REC,PERS,091,Substantial,VMC,Maneuvering,Completed,Final,0,0.04540763673890608
2522,ACC,2021-05-15T11:00:00Z,False,Aviation,?,Serious,0.0,2.0,0.0,2.0,PIPER,PA38,AIR,EDRS,False,,?,INST,NUSN,Substantial,?,Unknown,?,Prelim,0,0.7420020639834881
2523,ACC,2021-05-15T08:50:00Z,False,Aviation,10/19/2021 0:00,?,0.0,0.0,0.0,0.0,AMERICAN CHAMPION AIRCRAFT,8GCBC,AIR,?,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.07636738906088751
2524,ACC,2021-05-14T15:00:00Z,False,Aviation,8/19/2022 0:00,?,0.0,0.0,0.0,0.0,BEECH,A36,AIR,PJY,False,0.125,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final,0,0.23374613003095973
2525,ACC,2021-05-14T11:34:00Z,False,Aviation,8/20/2021 0:00,Minor,0.0,0.0,2.0,2.0,CESSNA,172,AIR,DAB,False,0.125,REC,INST,091,Substantial,VMC,Landing,Completed,Final,0,0.045923632610939104
2526,ACC,2021-05-13T20:25:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,CESSNA,310,AIR,SDUL,False,0.25,?,?,NUSN,Substantial,?,Approach,?,Prelim,0,0.7425180598555211
2527,ACC,2021-05-13T17:50:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,172,AIR,JKA,False,0.125,REC,INST,091,Substantial,VMC,Approach,Completed,Final,0,0.04643962848297213
2528,ACC,2021-05-13T11:17:00Z,False,Aviation,8/19/2022 0:00,Serious,0.0,3.0,1.0,4.0,BEECH,B24R,AIR,LOT,False,0.125,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final,0,0.23426212590299275
2529,ACC,2021-05-13T10:00:00Z,False,Aviation,12/17/2021 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-18-105 SPECIAL,AIR,?,False,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.10784313725490195
2530,INC,2021-05-13T09:20:00Z,False,Aviation,?,?,?,?,?,?,BOEING,737,AIR,?,False,0.25,?,?,121,?,?,Enroute,?,Prelim,0,0.7430340557275541
2531,ACC,2021-05-13T01:45:00Z,False,Aviation,10/19/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,R182,AIR,TUL,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.07739938080495355
2532,ACC,2021-05-12T18:07:00Z,False,Aviation,2/18/2022 0:00,?,0.0,0.0,0.0,0.0,PAGE JOSEPH E,VANS RV-4,AIR,MRB,True,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.14086687306501547
2533,ACC,2021-05-12T17:45:00Z,False,Aviation,9/22/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,172,AIR,0A4,False,0.125,REC,INST,091,Substantial,VMC,Landing,Completed,Final,0,0.06398348813209494
2534,ACC,2021-05-12T15:30:00Z,False,Aviation,1/19/2023 0:00,?,0.0,0.0,0.0,0.0,AEROSPATIALE,AS350 B2 ECUREUIL,HELI,KRCE,False,0.125,TS,INST,PUBU,Destroyed,VMC,Maneuvering,Completed,Final,0,0.3137254901960784
2535,ACC,2021-05-12T14:50:00Z,False,Aviation,9/20/2021 0:00,?,0.0,0.0,0.0,0.0,GULFSTREAM AMERICAN CORP,AA-5B,AIR,7S3,False,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.06295149638802888
2536,ACC,2021-05-12T14:00:00Z,False,Aviation,9/20/2021 0:00,?,0.0,0.0,0.0,0.0,COSTRUZIONI AERONAUTICHE TECNA,P2010,AIR,TRK,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.06295149638802888
2537,ACC,2021-05-12T13:15:00Z,False,Aviation,10/20/2021 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-12,AIR,ENA,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.0784313725490196
2538,ACC,2021-05-12T13:00:00Z,False,Aviation,7/16/2021 0:00,?,0.0,0.0,0.0,0.0,SMITH MINIPLANE,DSA-1,AIR,KFTT,True,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.028895768833849325
2539,ACC,2021-05-12T12:41:00Z,False,Aviation,7/16/2021 0:00,?,0.0,0.0,0.0,0.0,VARNER DAVID L,VANS RV-8,AIR,CFO,True,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.028895768833849325
2540,ACC,2021-05-12T10:30:00Z,False,Aviation,6/8/2023 0:00,Serious,0.0,1.0,0.0,1.0,GRUMMAN ACFT ENG COR-SCHWEIZER,G-164C,AIR,?,False,0.125,TP,AAPL,137,Substantial,VMC,Initial Climb,Completed,Final,0,0.38596491228070173
2541,ACC,2021-05-12T10:23:00Z,False,Aviation,3/29/2023 0:00,?,0.0,0.0,0.0,0.0,SWEARINGEN,SA226TC,AIR,APA,False,0.25,REC,POSI,091,Substantial,VMC,Approach,Completed,Final,0,0.3493292053663571
2542,ACC,2021-05-11T21:25:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,CESSNA,182,AIR,?,False,,?,?,NUSN,Unknown,?,Landing,?,Prelim,0,0.7435500515995872
2543,ACC,2021-05-11T15:00:00Z,False,Aviation,8/15/2023 0:00,Minor,0.0,0.0,2.0,2.0,BEECH,C23,AIR,RRL,False,0.125,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final,0,0.4215686274509804
2544,ACC,2021-05-11T11:15:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-18-105 SPECIAL,AIR,COE,False,0.125,REC,INST,091,Substantial,VMC,Landing,Completed,Final,0,0.04747162022703818
2545,INC,2021-05-11T04:00:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,BOEING,777,AIR,?,False,,?,?,NUSC,Minor,?,Initial Climb,?,Prelim,0,0.7440660474716202
2546,ACC,2021-05-10T20:10:00Z,False,Aviation,9/20/2021 0:00,Serious,0.0,1.0,0.0,1.0,CESSNA,172R,AIR,P19,False,0.125,REC,OWRK,091,Substantial,VMC,Approach,Completed,Final,0,0.06398348813209494
2547,ACC,2021-05-10T18:00:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,DOUGLAS K THOMPSON,JUSTAIRCRAFT SUPERST,AIR,BXM,True,0.125,REC,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.0479876160990712
2548,ACC,2021-05-10T15:00:00Z,False,Aviation,12/17/2021 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-18-105 SPECIAL,AIR,?,False,0.125,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final,0,0.10939112487100103
2549,ACC,2021-05-10T13:20:00Z,False,Aviation,7/16/2021 0:00,?,0.0,0.0,0.0,0.0,RICHARDS HEAVYLIFT HELO INC,UH-1H,HELI,?,False,0.125,TS,AAPL,137,Substantial,VMC,Standing,Completed,Final,0,0.029927760577915373
2550,ACC,2021-05-10T09:21:00Z,False,Aviation,9/20/2021 0:00,?,0.0,0.0,0.0,0.0,RAYTHEON AIRCRAFT COMPANY,B200,AIR,UDD,False,0.25,REC,PERS,091,Minor,VMC,Taxi,Completed,Final,0,0.06398348813209494
2551,ACC,2021-05-09T15:57:00Z,False,Aviation,?,?,?,?,?,?,CESSNA,172,AIR,EDMK,False,,?,?,NUSN,Substantial,?,Landing,?,Prelim,0,0.7450980392156863
2552,ACC,2021-05-09T14:40:00Z,False,Aviation,12/6/2022 0:00,?,0.0,0.0,0.0,0.0,ENSTROM,F-28F,HELI,?,False,0.125,REC,OWRK,091,Substantial,VMC,Enroute,Completed,Final,0,0.29256965944272445
2553,ACC,2021-05-09T14:20:00Z,False,Aviation,9/20/2021 0:00,?,0.0,0.0,0.0,0.0,REMOS ACFT GMBH FLUGZEUGBAU,REMOS GX,AIR,MHR,True,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.06449948400412796
2554,ACC,2021-05-08T12:30:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,182Q,AIR,SBD,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.04901960784313725
2555,ACC,2021-05-08T12:20:00Z,False,Aviation,?,Fatal,2.0,0.0,0.0,2.0,Legacy,2000,AIR,LSZG,False,,?,?,NUSN,Substantial,?,Approach,?,Prelim,1,0.7456140350877193
2556,ACC,2021-05-08T12:15:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,ROBINSON,R44,HELI,?,False,0.125,?,?,NUSC,Substantial,?,Enroute,?,Prelim,0,0.7456140350877193
2557,ACC,2021-05-08T11:46:00Z,False,Aviation,5/4/2022 0:00,?,0.0,0.0,0.0,0.0,CESSNA,172RG,AIR,TMB,False,0.125,REC,INST,091,Substantial,VMC,Landing,Completed,Final,0,0.18163054695562433
2558,ACC,2021-05-08T10:27:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,172P,AIR,RYN,False,0.125,REC,INST,091,Substantial,VMC,Landing,Completed,Final,0,0.04901960784313725
2559,ACC,2021-05-08T09:07:00Z,False,Aviation,?,?,?,?,?,?,CESSNA,T303,AIR,LOXZ,False,,?,?,129,Substantial,?,Landing,?,Prelim,0,0.7456140350877193
2560,ACC,2021-05-08T08:00:00Z,False,Aviation,?,Fatal,1.0,0.0,0.0,1.0,Storm Fury,RG,AIR,LETX,False,,?,?,UNK,Unknown,?,Unknown,?,Prelim,1,0.7456140350877193
2561,ACC,2021-05-07T16:05:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,180J,AIR,AWO,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.049535603715170275
2562,ACC,2021-05-07T13:00:00Z,False,Aviation,12/17/2021 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-18-150,AIR,CDB,False,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.11093911248710009
2563,ACC,2021-05-07T12:00:00Z,False,Aviation,?,Fatal,1.0,0.0,0.0,1.0,ROBINSON,R44,HELI,?,False,,?,?,NUSN,Destroyed,?,Unknown,?,Prelim,1,0.7461300309597523
2564,ACC,2021-05-07T04:00:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,CESSNA,F177RG,AIR,?,False,,?,?,NUSC,Substantial,?,Enroute,?,Prelim,0,0.7461300309597523
2565,ACC,2021-05-06T20:35:00Z,False,Aviation,?,?,?,?,?,?,CESSNA,210,AIR,?,False,,?,?,NUSN,Destroyed,?,Maneuvering,?,Prelim,0,0.7461300309597523
2566,ACC,2021-05-06T17:07:00Z,False,Aviation,8/12/2022 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-28-161,AIR,DWH,False,0.125,REC,INST,091,Substantial,VMC,Standing,Completed,Final,0,0.23426212590299275
2567,ACC,2021-05-06T15:20:00Z,False,Aviation,5/10/2023 0:00,Fatal,1.0,1.0,0.0,2.0,Ted Smith,Aerostar 600,AIR,X14,False,0.25,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final,1,0.3740970072239422
2568,ACC,2021-05-06T14:10:00Z,False,Aviation,10/20/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,180J,AIR,BYG,False,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.08152734778121774
2569,ACC,2021-05-06T13:30:00Z,False,Aviation,9/20/2021 0:00,?,0.0,0.0,0.0,0.0,MCDONNELL DOUGLAS HELI CO,369FF,HELI,?,False,0.125,TS,EXLD,133,Substantial,VMC,Takeoff,Completed,Final,0,0.06604747162022703
2570,ACC,2021-05-06T12:45:00Z,False,Aviation,12/17/2021 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-22-150,AIR,AK69,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.11145510835913311
2571,ACC,2021-05-06T10:45:00Z,False,Aviation,8/19/2022 0:00,Serious,0.0,1.0,0.0,0.0,DJI,Matrice,UNMANNED,?,False,0.5,?,OWRK,107,Minor,VMC,Unknown,Completed,Final,0,0.23787409700722392
2572,ACC,2021-05-05T15:30:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,172N,AIR,LWS,False,0.125,?,INST,091,Substantial,VMC,Taxi,Completed,Final,0,0.05056759545923632
2573,ACC,2021-05-05T14:32:00Z,False,Aviation,?,?,?,?,?,?,MARQUART,MA5,AIR,?,False,,?,?,NUSN,Substantial,?,Landing,?,Prelim,0,0.7471620227038184
2574,ACC,2021-05-05T10:33:00Z,False,Aviation,8/15/2023 0:00,?,0.0,0.0,0.0,0.0,ISRAEL AEROSPACE INDUSTRIES LTD,GULFSTREAM G150,AIR,3J1,False,0.25,TF,EXEC,091,Substantial,VMC,Landing,Completed,Final,0,0.4246646026831785
2575,ACC,2021-05-05T09:00:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,MD HELICOPTERS INC,369FF,HELI,FFZ,False,0.25,TS,INST,091,Substantial,VMC,Approach,Completed,Final,0,0.05056759545923632
2576,ACC,2021-05-04T23:01:00Z,False,Aviation,9/20/2023 0:00,Fatal,4.0,0.0,2.0,3.0,MITSUBISHI,MU2B,AIR,HBG,False,0.25,TP,PERS,091,Destroyed,IMC,Approach,Completed,Final,1,0.4437564499484004
2577,INC,2021-05-04T13:25:00Z,False,Aviation,?,?,?,?,?,?,AIRBUS,A330,AIR,KHI,False,,?,?,129,?,?,Enroute,?,Prelim,0,0.7476780185758514
2578,INC,2021-05-04T11:30:00Z,False,Aviation,?,?,?,?,?,?,DE HAVILLAND,DHC6,AIR,?,False,,?,?,NUSC,?,?,Approach,?,Prelim,0,0.7476780185758514
2579,ACC,2021-05-03T11:48:00Z,False,Aviation,?,Fatal,2.0,0.0,0.0,2.0,ROBINSON,R22,HELI,?,False,,?,?,NUSN,Substantial,?,Enroute,?,Prelim,1,0.7481940144478844
2580,ACC,2021-05-03T11:36:00Z,False,Aviation,9/22/2021 0:00,Minor,0.0,0.0,1.0,1.0,JABIRU AIRCRAFT PTY LTD,J170-D,AIR,OKV,False,0.125,REC,INST,091,Substantial,VMC,Landing,Completed,Final,0,0.06862745098039215
2581,ACC,2021-05-03T10:55:00Z,False,Aviation,9/20/2021 0:00,Minor,0.0,0.0,1.0,1.0,CESSNA,175B,AIR,PVT,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.06759545923632611
2582,ACC,2021-05-02T16:38:00Z,False,Aviation,9/20/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,172S,AIR,MTV,False,0.125,REC,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.06811145510835913
2583,ACC,2021-05-02T16:15:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,PRECISION HELICOPTERS LLC,UH-1H,HELI,?,False,0.125,?,?,UNK,Substantial,?,Maneuvering,?,Prelim,0,0.7487100103199174
2584,ACC,2021-05-02T15:52:00Z,False,Aviation,7/20/2022 0:00,Fatal,1.0,0.0,0.0,1.0,CESSNA,T210M,AIR,IA24,False,0.125,REC,PERS,091,Destroyed,VMC,Landing,Completed,Final,1,0.2244582043343653
2585,ACC,2021-05-02T15:45:00Z,False,Aviation,8/20/2021 0:00,Minor,0.0,0.0,1.0,1.0,CESSNA,172,AIR,NM2,False,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.05211558307533539
2586,ACC,2021-05-02T15:00:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,PIPER,PA38,AIR,?,False,,?,?,NUSN,Substantial,?,Maneuvering,?,Prelim,0,0.7487100103199174
2587,ACC,2021-05-02T14:00:00Z,False,Aviation,11/16/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,150,AIR,5GA3,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.09752321981424147
2588,ACC,2021-05-02T13:18:00Z,False,Aviation,1/19/2023 0:00,Fatal,1.0,0.0,0.0,1.0,ROBINSON HELICOPTER,R44,HELI,?,False,0.125,REC,AAPL,137,Substantial,VMC,Maneuvering,Completed,Final,1,0.3188854489164087
2589,ACC,2021-05-02T08:15:00Z,False,Aviation,8/20/2021 0:00,Serious,0.0,1.0,0.0,1.0,ULTRAMAGIC S A,N-500,BALL,?,False,0.0,?,OWRK,091,Minor,VMC,Landing,Completed,Final,0,0.05211558307533539
2590,ACC,2021-05-02T08:00:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,A185F,AIR,DIJ,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.05211558307533539
2591,ACC,2021-05-01T22:30:00Z,False,Aviation,?,Fatal,4.0,1.0,0.0,5.0,BELL,206,HELI,?,False,,?,?,NUSC,Substantial,?,Unknown,?,Prelim,1,0.7487100103199174
2592,ACC,2021-05-01T20:39:00Z,False,Aviation,9/22/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,550,AIR,JZI,False,0.25,TF,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.0696594427244582
2593,ACC,2021-05-01T14:28:00Z,False,Aviation,5/10/2023 0:00,Fatal,1.0,1.0,0.0,2.0,BEECH,A36,AIR,LAL,False,0.125,REC,PERS,091,Destroyed,VMC,Approach,Completed,Final,1,0.3766769865841073
2594,ACC,2021-05-01T12:20:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,EDGE,540,AIR,?,False,,?,?,NUSN,Substantial,?,Maneuvering,?,Prelim,0,0.7492260061919505
2595,ACC,2021-05-01T11:20:00Z,False,Aviation,12/17/2021 0:00,Minor,0.0,0.0,1.0,1.0,CESSNA,172P,AIR,LNY,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.11403508771929824
2596,ACC,2021-05-01T09:25:00Z,False,Aviation,7/20/2022 0:00,Minor,0.0,0.0,2.0,2.0,BEECH,23,AIR,HUT,False,0.125,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final,0,0.22497420020639833
2597,ACC,2021-04-30T17:29:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-28-161,AIR,I96,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.05314757481940144
2598,ACC,2021-04-29T17:25:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,ROBINSON,R44,HELI,?,False,,?,?,091,Substantial,?,Landing,?,Prelim,0,0.7502579979360164
2599,ACC,2021-04-29T16:20:00Z,False,Aviation,10/19/2021 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-30B,AIR,CVO,False,0.25,REC,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.08462332301341588
2600,INC,2021-04-29T15:07:00Z,False,Aviation,9/22/2023 0:00,?,0.0,0.0,0.0,0.0,AIRBUS,A319-112,AIR,PIE,False,0.25,TF,PERS,091,?,VMC,Takeoff,Completed,Final,0,0.4473684210526316
2601,ACC,2021-04-29T12:17:00Z,False,Aviation,9/22/2021 0:00,Serious,0.0,1.0,0.0,1.0,MOONEY,M20C,AIR,N72,False,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.07069143446852424
2602,ACC,2021-04-29T10:52:00Z,False,Aviation,4/26/2023 0:00,Serious,0.0,1.0,1.0,2.0,PIPER,PA-28-161,AIR,?,False,0.125,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final,0,0.37048503611971106
2603,ACC,2021-04-29T09:56:00Z,False,Aviation,?,Fatal,6.0,0.0,0.0,6.0,PIPER,PA-32-260,AIR,MMAN,False,0.125,?,?,NUSN,Substantial,?,Takeoff,?,Prelim,1,0.7502579979360164
