index,EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType,FatalYN,DaysUntilPublished
5762,ACC,2023-06-03T14:00:00Z,False,Aviation,7/7/2023 0:00,?,0.0,0.0,0.0,0.0,CHAMPION,7KCAB,AIR,FQD,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.012899896800825593
5763,ACC,2023-06-03T12:58:00Z,False,Aviation,3/19/2025 0:00,?,0.0,0.0,0.0,0.0,AIR TRACTOR INC,AT-502B,AIR,?,False,0.125,TP,AAPL,137,Substantial,VMC,Initial Climb,Completed,Final,0,0.3333333333333333
5764,ACC,2023-06-03T11:40:00Z,False,Aviation,10/20/2023 0:00,?,0.0,0.0,0.0,0.0,ROCKWELL INTERNATIONAL,S-2R,AIR,?,False,0.125,TP,AAPL,137,Substantial,VMC,Takeoff,Completed,Final,0,0.06707946336429307
5765,ACC,2023-06-03T11:34:00Z,False,Aviation,10/26/2023 0:00,Minor,0.0,0.0,1.0,1.0,BELL,206B,HELI,?,False,0.125,TS,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.07017543859649122
5766,ACC,2023-06-03T11:15:00Z,False,Aviation,10/20/2023 0:00,?,0.0,0.0,0.0,0.0,CESSNA,172,AIR,PRC,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.06707946336429307
5767,ACC,2023-06-03T10:00:00Z,False,Aviation,11/15/2023 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-25-235,AIR,46D,False,0.125,REC,AAPL,137,Substantial,VMC,Maneuvering,Completed,Final,0,0.08049535603715169
5768,ACC,2023-06-03T09:11:00Z,False,Aviation,?,Fatal,2.0,0.0,0.0,2.0,PIPER,PA-31-325,AIR,TUP,False,0.25,?,PERS,091,Destroyed,VMC,Takeoff,In work,Prelim,1,0.35552115583075333
5769,ACC,2023-06-02T22:49:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,MD HELICOPTER,500,HELI,?,False,,?,?,NUSN,Substantial,?,Maneuvering,?,Prelim,0,0.35552115583075333
5770,ACC,2023-06-02T15:50:00Z,False,Aviation,7/10/2024 0:00,Serious,0.0,1.0,1.0,2.0,KOLB,TWINSTAR,AIR,D32,True,0.125,REC,INST,091,Substantial,VMC,Landing,Completed,Final,0,0.20381836945304435
5771,ACC,2023-06-02T10:07:00Z,False,Aviation,?,Fatal,1.0,0.0,0.0,1.0,VANS,RV7,AIR,?,True,0.125,?,PERS,091,Destroyed,IMC,Enroute,In work,Prelim,1,0.3560371517027864
5772,ACC,2023-06-02T09:20:00Z,False,Aviation,9/28/2023 0:00,?,0.0,0.0,0.0,0.0,SKYKITS CORP,SAVANNAH VGW,AIR,FLP,True,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.05624355005159958
5773,ACC,2023-06-01T18:06:00Z,False,Aviation,10/16/2023 0:00,Serious,0.0,1.0,0.0,1.0,BOEING,737-924ER,AIR,?,False,0.25,TF,?,121,?,VMC,Enroute,Completed,Final,0,0.06604747162022703
5774,ACC,2023-06-01T17:32:00Z,False,Aviation,11/15/2023 0:00,Serious,0.0,1.0,0.0,1.0,AIRBUS INDUSTRIE,A320-232,AIR,?,False,0.25,TF,?,121,?,IMC,Enroute,Completed,Final,0,0.08152734778121774
5775,ACC,2023-06-01T15:55:00Z,False,Aviation,?,Minor,0.0,0.0,1.0,1.0,BEECH,V35A,AIR,TBR,False,0.125,?,PERS,091,Substantial,VMC,Takeoff,In work,Prelim,0,0.3565531475748194
5776,ACC,2023-06-01T15:40:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,PIPER,PA-32-260,AIR,MYAN,False,0.125,?,?,NUSN,Substantial,?,Enroute,?,Prelim,0,0.3565531475748194
5777,ACC,2023-06-01T14:30:00Z,False,Aviation,4/18/2024 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-28-181,AIR,PLN,False,0.125,REC,INST,091,Substantial,VMC,Landing,Completed,Final,0,0.16150670794633643
5778,ACC,2023-06-01T11:21:00Z,False,Aviation,11/21/2024 0:00,Minor,0.0,0.0,1.0,1.0,CSP LEASING LLC,MTO SPORT,GYRO,29S,True,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.2734778121775026
5779,ACC,2023-06-01T11:03:00Z,False,Aviation,9/28/2023 0:00,?,0.0,0.0,0.0,0.0,ZENITH,750,AIR,25D,True,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.0567595459236326
5780,ACC,2023-06-01T08:28:00Z,False,Aviation,9/21/2023 0:00,?,0.0,0.0,0.0,0.0,REMOS AIRCRAFT GMBH,G-3/600,AIR,ARR,False,0.125,REC,INST,091,Substantial,VMC,Takeoff,Completed,Final,0,0.05314757481940144
5781,INC,2023-06-01T01:44:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,BOEING,737,AIR,?,False,,?,?,NUSC,?,?,Enroute,?,Prelim,0,0.3565531475748194
5782,ACC,2023-05-31T21:30:00Z,False,Aviation,4/18/2024 0:00,?,0.0,0.0,0.0,0.0,PROGRESSIVE AERODYNE INC,SEAREY LSA,AIR,DET,True,0.125,REC,PERS,091,Substantial,VMC,Approach,Completed,Final,0,0.16202270381836945
5783,ACC,2023-05-31T18:30:00Z,False,Aviation,7/7/2023 0:00,?,0.0,0.0,0.0,0.0,GRUMMAN ACFT ENG COR-SCHWEIZER,G-164,AIR,?,False,0.125,TP,AAPL,137,Substantial,VMC,Takeoff,Completed,Final,0,0.014447884416924664
5784,ACC,2023-05-31T16:45:00Z,False,Aviation,6/26/2024 0:00,?,0.0,0.0,0.0,0.0,ROCKWELL INTERNATIONAL CORP,695,AIR,PHL,False,0.25,TP,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.19762641898864808
5785,ACC,2023-05-31T16:30:00Z,False,Aviation,3/19/2025 0:00,?,0.0,0.0,0.0,0.0,BURTON,Searey,AIR,NC26,True,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.3348813209494324
5786,ACC,2023-05-31T15:35:00Z,False,Aviation,12/5/2024 0:00,Fatal,1.0,1.0,0.0,2.0,CESSNA,180,AIR,CXY,False,0.125,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final,1,0.28121775025799794
