index,EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType,FatalYN
58,0,2020-12-11T19:15:00Z,False,0,?,Fatal,1.0,0.0,0.0,1.0,160,142,6,576,False,,0,0,13,3,0,1,0,3,1
59,0,2020-12-11T15:30:00Z,False,0,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,896,1599,1,589,False,0.125,5,15,0,3,3,5,1,2,0
60,0,2020-12-11T14:00:00Z,False,0,10/13/2022 0:00,?,0.0,0.0,0.0,0.0,700,1089,1,529,False,0.125,5,15,0,3,3,3,1,2,0
61,0,2020-12-11T13:27:00Z,False,0,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,250,60,1,107,False,0.125,5,15,0,3,3,5,1,2,0
62,0,2020-12-10T16:47:00Z,False,0,1/31/2023 0:00,Serious,0.0,1.0,0.0,1.0,329,1959,1,2138,False,0.125,5,15,0,3,3,4,1,2,0
63,0,2020-12-10T13:30:00Z,False,0,9/22/2021 0:00,Serious,0.0,1.0,0.0,1.0,739,443,1,576,False,0.125,5,15,0,3,3,1,1,2,0
64,0,2020-12-10T10:30:00Z,False,0,2/8/2023 0:00,Fatal,2.0,0.0,0.0,2.0,993,1725,6,576,False,0.125,5,6,0,1,3,6,1,2,1
65,0,2020-12-09T19:30:00Z,False,0,8/24/2021 0:00,Serious,0.0,1.0,0.0,0.0,250,60,1,1323,False,0.125,5,13,0,0,3,9,1,2,0
66,0,2020-12-09T12:00:00Z,False,0,7/16/2021 0:00,?,0.0,0.0,0.0,0.0,479,1980,1,1158,True,0.125,5,15,0,3,3,5,1,2,0
67,0,2020-12-08T16:40:00Z,False,0,7/7/2022 0:00,Fatal,1.0,0.0,0.0,1.0,1241,1780,1,1595,True,,5,15,0,1,3,3,1,2,1
68,0,2020-12-08T12:00:00Z,False,0,7/7/2022 0:00,?,0.0,0.0,0.0,0.0,896,1647,1,2556,False,0.125,5,11,0,3,3,4,1,2,0
69,0,2020-12-08T09:50:00Z,False,0,8/20/2021 0:00,Serious,0.0,1.0,0.0,1.0,320,60,1,976,False,0.125,5,15,0,3,3,1,1,2,0
70,0,2020-12-07T16:28:00Z,False,0,7/19/2022 0:00,Serious,0.0,1.0,0.0,1.0,1241,1779,1,89,True,0.125,5,15,0,3,3,10,1,2,0
71,1,2020-12-06T20:10:00Z,False,0,5/3/2022 0:00,?,0.0,0.0,0.0,0.0,896,1677,1,1503,False,0.125,8,15,0,2,3,5,1,2,0
72,0,2020-12-06T17:18:00Z,False,0,10/13/2022 0:00,?,0.0,0.0,0.0,0.0,429,272,1,576,False,0.125,5,15,0,3,3,3,1,2,0
73,0,2020-12-06T14:45:00Z,False,0,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,896,1657,1,221,False,0.25,5,15,0,3,3,5,1,2,0
74,0,2020-12-06T07:25:00Z,False,0,7/7/2022 0:00,Fatal,1.0,0.0,0.0,1.0,896,1668,1,2024,False,0.125,5,15,0,1,1,4,1,2,1
75,0,2020-12-05T14:30:00Z,False,0,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,996,1727,6,576,False,0.125,5,15,0,3,3,6,1,2,0
76,1,2020-12-05T05:00:00Z,False,0,?,?,0.0,0.0,0.0,0.0,179,356,1,1706,False,0.25,0,6,12,2,0,3,0,3,0
77,0,2020-12-04T15:11:00Z,False,0,8/16/2022 0:00,Serious,0.0,1.0,0.0,1.0,250,60,1,1661,False,0.125,5,13,0,3,3,1,1,2,0
78,1,2020-12-04T05:00:00Z,False,0,?,?,0.0,0.0,0.0,0.0,179,416,1,576,False,,0,22,12,2,0,3,0,3,0
79,1,2020-12-03T05:00:00Z,False,0,?,?,?,?,?,?,179,372,1,576,False,,0,0,12,0,0,11,0,3,0
80,0,2020-12-02T22:15:00Z,False,0,10/13/2022 0:00,?,0.0,0.0,0.0,0.0,166,54,1,576,False,0.125,5,15,0,3,3,3,1,2,0
81,0,2020-12-02T17:30:00Z,False,0,?,Fatal,2.0,0.0,0.0,2.0,993,1725,6,576,False,0.125,0,0,15,1,0,13,0,3,1
82,0,2020-12-02T17:00:00Z,False,0,10/19/2021 0:00,?,0.0,0.0,0.0,0.0,896,1648,1,1489,False,0.125,5,15,0,3,3,11,1,2,0
83,0,2020-12-02T09:42:00Z,False,0,2/7/2023 0:00,?,0.0,0.0,0.0,0.0,250,315,1,1762,False,0.25,6,6,0,3,1,5,1,2,0
84,0,2020-12-02T08:51:00Z,False,0,10/13/2022 0:00,?,0.0,0.0,0.0,0.0,896,1674,1,1398,False,0.125,5,13,0,3,3,1,1,2,0
85,1,2020-12-02T07:52:00Z,False,0,?,?,0.0,0.0,0.0,0.0,179,356,1,1281,False,,0,0,6,2,0,5,0,3,0
86,0,2020-12-01T15:30:00Z,False,0,7/7/2022 0:00,?,0.0,0.0,0.0,0.0,541,1130,1,576,True,0.125,5,1,9,3,3,10,1,2,0
87,0,2020-12-01T13:50:00Z,False,0,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,623,2016,1,533,True,0.125,5,15,0,3,3,5,1,2,0
88,1,2020-12-01T11:40:00Z,False,0,?,?,?,?,?,?,179,394,1,576,False,,0,0,4,0,0,3,0,3,0
89,0,2020-11-30T13:13:00Z,False,0,10/13/2022 0:00,Fatal,2.0,0.0,0.0,2.0,896,1674,1,576,False,0.125,5,13,0,1,3,3,1,2,1
90,0,2020-11-29T12:30:00Z,False,0,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,254,435,1,2089,False,0.125,5,15,0,3,3,5,1,2,0
91,0,2020-11-29T11:50:00Z,False,0,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,896,1660,1,2070,False,0.125,5,15,0,3,3,5,1,2,0
92,0,2020-11-28T18:00:00Z,False,0,9/20/2021 0:00,Serious,0.0,1.0,0.0,0.0,28,1789,2,576,False,0.0,0,15,0,0,3,13,1,2,0
93,0,2020-11-28T14:37:00Z,False,0,8/20/2021 0:00,Minor,0.0,0.0,1.0,1.0,896,1660,1,1234,False,0.125,5,15,0,3,3,1,1,2,0
94,0,2020-11-28T14:16:00Z,False,0,9/20/2021 0:00,Minor,0.0,0.0,1.0,1.0,523,1145,1,576,False,,5,15,0,3,3,10,1,2,0
95,0,2020-11-28T12:43:00Z,False,0,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,254,437,1,1273,False,0.125,5,15,0,3,3,5,1,2,0
96,1,2020-11-28T08:40:00Z,False,0,?,?,0.0,0.0,0.0,0.0,179,356,1,2491,False,,0,0,6,0,0,11,0,3,0
97,0,2020-11-27T14:05:00Z,False,0,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,250,60,1,2685,False,0.125,5,15,0,3,3,10,1,2,0
98,0,2020-11-26T20:25:00Z,False,0,?,Minor,0.0,0.0,1.0,1.0,93,663,1,576,False,0.25,0,0,15,2,0,5,0,3,0
99,0,2020-11-26T13:59:00Z,False,0,8/15/2023 0:00,Fatal,2.0,0.0,0.0,2.0,1241,1779,1,2641,True,0.125,5,15,0,3,3,1,1,2,1
100,0,2020-11-26T10:55:00Z,False,0,9/22/2021 0:00,?,0.0,0.0,0.0,0.0,250,2034,1,705,False,0.125,5,15,0,3,1,5,1,2,0
101,0,2020-11-25T01:09:00Z,False,0,10/13/2022 0:00,?,0.0,0.0,0.0,0.0,250,298,1,2233,False,0.25,5,15,0,2,3,5,1,2,0
102,0,2020-11-24T17:07:00Z,False,0,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,250,60,1,314,False,0.125,5,13,0,3,3,1,1,2,0
103,0,2020-11-24T16:30:00Z,False,0,10/5/2022 0:00,Serious,0.0,2.0,0.0,2.0,896,1668,1,1322,False,0.125,5,15,0,3,3,1,1,2,0
104,0,2020-11-24T10:30:00Z,False,0,?,Fatal,2.0,0.0,0.0,2.0,540,24,1,576,False,,0,0,15,1,0,3,0,3,1
105,0,2020-11-24T10:28:00Z,False,0,10/6/2022 0:00,Fatal,1.0,0.0,0.0,1.0,157,2145,1,576,False,0.125,5,15,0,1,3,6,1,2,1
106,0,2020-11-23T16:23:00Z,False,0,1/19/2023 0:00,Fatal,1.0,0.0,0.0,1.0,716,1339,1,1398,True,0.125,5,15,0,3,3,4,1,2,1
107,1,2020-11-22T20:20:00Z,False,0,?,?,?,?,?,?,179,356,1,576,False,,0,0,12,0,0,3,0,3,0
108,0,2020-11-22T19:30:00Z,False,0,8/31/2021 0:00,?,0.0,0.0,0.0,0.0,896,1647,1,576,False,,5,15,0,3,2,5,1,2,0
109,0,2020-11-22T17:33:00Z,False,0,9/20/2021 0:00,Serious,0.0,1.0,0.0,1.0,641,1994,11,576,False,0.125,5,15,0,3,3,10,1,2,0
110,0,2020-11-21T13:50:00Z,False,0,9/14/2022 0:00,?,0.0,0.0,0.0,0.0,250,2100,1,2664,False,0.125,5,15,0,3,3,10,1,2,0
111,0,2020-11-20T15:50:00Z,False,0,7/7/2022 0:00,?,0.0,0.0,0.0,0.0,250,60,1,1859,False,,5,13,0,3,3,5,1,2,0
112,0,2020-11-19T20:25:00Z,False,0,8/31/2021 0:00,Minor,0.0,0.0,1.0,1.0,896,1660,1,1812,False,0.125,5,15,0,3,3,10,1,2,0
113,0,2020-11-19T19:44:00Z,False,0,8/24/2021 0:00,Minor,0.0,0.0,3.0,3.0,250,60,1,49,False,0.125,5,15,0,3,3,1,1,2,0
114,0,2020-11-19T19:30:00Z,False,0,7/7/2022 0:00,?,0.0,0.0,0.0,0.0,4,467,0,576,True,,0,0,10,0,0,0,0,0,0
115,0,2020-11-19T18:09:00Z,False,0,7/12/2022 0:00,Fatal,1.0,0.0,0.0,1.0,219,1511,1,576,True,0.125,5,15,0,1,3,3,1,2,1
116,0,2020-11-19T10:47:00Z,False,0,7/15/2021 0:00,?,0.0,0.0,0.0,0.0,250,60,1,1098,False,0.125,5,15,0,3,3,10,1,2,0
117,0,2020-11-18T13:30:00Z,False,0,7/15/2021 0:00,?,0.0,0.0,0.0,0.0,993,1725,6,576,False,0.125,5,13,0,3,3,6,1,2,0
118,0,2020-11-18T12:43:00Z,False,0,7/15/2021 0:00,?,0.0,0.0,0.0,0.0,250,60,1,314,False,0.125,5,13,0,3,3,5,1,2,0
119,0,2020-11-18T05:00:00Z,False,0,?,Fatal,1.0,0.0,0.0,1.0,250,60,1,576,False,,0,0,0,1,0,13,0,3,1
120,0,2020-11-17T15:50:00Z,False,0,?,Fatal,2.0,0.0,0.0,2.0,896,1646,1,576,False,,0,13,13,3,0,6,0,3,1
121,0,2020-11-17T15:35:00Z,False,0,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,250,23,1,576,False,0.125,5,15,0,3,3,6,1,2,0
122,0,2020-11-17T15:18:00Z,False,0,10/5/2022 0:00,Minor,0.0,0.0,1.0,1.0,271,866,1,889,True,0.125,0,15,0,3,3,3,1,2,0
123,0,2020-11-16T15:30:00Z,False,0,7/15/2021 0:00,?,0.0,0.0,0.0,0.0,135,582,1,576,False,0.125,5,13,0,3,3,3,1,2,0
124,0,2020-11-16T09:10:00Z,False,0,10/13/2022 0:00,Serious,0.0,1.0,0.0,1.0,975,1745,1,576,False,0.125,5,15,0,3,3,1,1,2,0
125,0,2020-11-16T07:04:00Z,False,0,9/14/2022 0:00,Fatal,2.0,0.0,0.0,2.0,250,42,1,576,False,0.125,5,15,0,1,1,3,1,2,1
126,0,2020-11-15T13:30:00Z,False,0,?,Serious,0.0,1.0,0.0,1.0,250,118,1,576,False,,0,0,13,3,0,6,0,3,0
127,0,2020-11-15T13:00:00Z,False,0,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,1328,1991,1,576,False,0.125,5,15,0,3,3,5,1,2,0
128,0,2020-11-15T11:40:00Z,False,0,7/20/2022 0:00,Minor,0.0,0.0,1.0,1.0,37,2107,11,576,False,0.125,5,15,0,3,3,6,1,2,0
129,0,2020-11-14T15:20:00Z,False,0,?,Fatal,1.0,0.0,0.0,1.0,157,465,1,576,False,,0,0,13,3,0,4,0,3,1
130,0,2020-11-14T13:00:00Z,False,0,7/15/2021 0:00,?,0.0,0.0,0.0,0.0,250,201,1,2067,False,0.125,5,15,0,3,3,5,1,2,0
131,0,2020-11-14T12:30:00Z,False,0,9/16/2021 0:00,Minor,0.0,0.0,2.0,2.0,250,60,1,576,False,0.125,5,15,0,3,3,3,1,2,0
132,0,2020-11-14T11:57:00Z,False,0,7/15/2021 0:00,?,0.0,0.0,0.0,0.0,1241,1779,1,221,True,0.125,5,15,0,3,3,5,1,2,0
133,0,2020-11-14T09:30:00Z,False,0,5/4/2022 0:00,?,0.0,0.0,0.0,0.0,24,612,6,2064,False,0.25,9,6,0,3,3,10,1,2,0
134,0,2020-11-13T21:04:00Z,False,0,7/20/2022 0:00,Minor,0.0,0.0,1.0,1.0,250,45,1,2424,False,0.125,5,16,0,3,3,3,1,2,0
135,0,2020-11-13T18:50:00Z,False,0,6/8/2021 0:00,Serious,0.0,1.0,0.0,1.0,182,856,1,2252,False,0.25,0,0,4,0,3,13,1,2,0
136,0,2020-11-13T14:15:00Z,False,0,9/16/2021 0:00,?,0.0,0.0,0.0,0.0,37,773,11,1014,False,0.125,5,15,0,3,3,5,1,2,0
137,0,2020-11-13T13:26:00Z,False,0,9/16/2021 0:00,?,0.0,0.0,0.0,0.0,553,1439,10,1204,False,0.125,0,17,14,1,3,1,1,2,0
138,0,2020-11-12T18:30:00Z,False,0,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,896,1655,1,576,False,0.125,5,15,0,3,3,1,1,2,0
139,0,2020-11-12T14:06:00Z,False,0,7/7/2022 0:00,Fatal,2.0,0.0,0.0,2.0,250,113,1,1148,False,0.125,5,15,0,3,3,1,1,2,1
140,0,2020-11-12T13:53:00Z,False,0,?,Fatal,1.0,0.0,0.0,1.0,1031,886,6,576,False,0.125,0,0,15,1,0,13,0,3,1
141,0,2020-11-12T12:43:00Z,False,0,1/19/2023 0:00,Fatal,1.0,0.0,0.0,1.0,250,97,1,2819,False,0.125,5,16,0,1,3,1,1,2,1
142,0,2020-11-12T09:20:00Z,False,0,9/16/2021 0:00,Minor,0.0,0.0,1.0,1.0,771,1467,1,576,False,0.125,5,15,0,3,3,10,1,2,0
143,0,2020-11-11T17:50:00Z,False,0,7/7/2022 0:00,Fatal,1.0,0.0,0.0,1.0,1227,1975,11,576,False,0.125,5,15,0,1,3,10,1,2,1
144,0,2020-11-11T12:44:00Z,False,0,8/12/2022 0:00,Fatal,2.0,0.0,0.0,2.0,250,83,1,2791,False,0.125,5,13,0,3,3,1,1,2,1
145,0,2020-11-11T10:50:00Z,False,0,12/20/2022 0:00,Minor,0.0,0.0,1.0,1.0,166,441,1,1717,False,0.125,5,15,0,3,3,4,1,2,0
146,0,2020-11-10T16:40:00Z,False,0,7/7/2022 0:00,Fatal,1.0,0.0,0.0,1.0,896,1674,1,576,False,0.125,5,15,0,3,3,3,1,2,1
147,0,2020-11-10T15:37:00Z,False,0,?,Serious,0.0,3.0,1.0,4.0,160,267,6,576,False,0.125,0,0,15,3,0,10,0,3,0
148,0,2020-11-09T16:45:00Z,False,0,7/15/2021 0:00,Minor,0.0,0.0,2.0,2.0,811,1384,1,1743,False,0.125,5,15,0,3,3,1,1,2,0
149,0,2020-11-09T08:24:00Z,False,0,8/24/2021 0:00,Minor,0.0,0.0,1.0,0.0,404,920,1,1198,False,0.125,5,13,0,3,3,11,1,2,0
150,0,2020-11-08T19:40:00Z,False,0,?,Fatal,2.0,0.0,0.0,2.0,951,1304,1,576,False,0.125,0,0,6,1,0,3,0,3,1
151,0,2020-11-08T17:11:00Z,False,0,8/31/2021 0:00,Fatal,1.0,0.0,0.0,1.0,250,60,1,576,False,0.125,0,15,0,1,3,6,1,2,1
152,0,2020-11-08T16:00:00Z,False,0,8/24/2021 0:00,?,0.0,0.0,0.0,0.0,70,441,1,1915,False,0.125,5,15,0,3,3,5,1,2,0
153,0,2020-11-08T15:30:00Z,False,0,9/21/2022 0:00,?,0.0,0.0,0.0,0.0,896,1668,1,576,False,0.125,5,15,0,3,3,10,1,2,0
