"Mkey	EventDate	City	State	Country	ReportNo	N#	SerialNumber	HasSafetyRec	Mode	ReportType	OriginalPublishedDate	DocketOriginalPublishedDate	HighestInjuryLevel	FatalInjuryCount	SeriousInjuryCount	MinorInjuryCount	OnboardInjuryCount	OnGroundInjuryCount	ProbableCause	Findings	EventID	Latitude	Longitude 	Make	Model	AirCraftCategory	AirportID	AirportName	AmateurBuilt	NumberOfEngines	EngineType	Scheduled	PurposeOfFlight	FAR	AirCraftDamage	WeatherCondition	Operator	BroadPhaseofFlight	ReportStatus	RepGenFlag	MostRecentReportType	DocketUrl	ReportUrl			",,,,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	ERA21LA091	ACC	102466	2020-12-27T16:20:00Z	Pleasant Valley	New York	United States		N8311X	17248811	FALSE	Aviation	DirectorBrief	2/2/2023 0:00	2023-01-30T15:00:00Z	Minor	0	0	1	1	0	""A total loss of engine power due to failure of the magnetos"," which were not overhauled in accordance with the manufacturer’s time specifications.""	""Aircraft - Aircraft power plant - Ignition system - Magneto/distributor - Failure"," Personnel issues - Task performance - Maintenance - Scheduled/routine maintenance - Owner/builder""		41.717863999999999	-73.74979	CESSNA	172	AIR	44N	Sky Acres Airport	false	1	REC		PERS	091	Substantial	VMC		Approach	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102466	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102466/pdf",,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	ERA21LA089	ACC	102459	2020-12-27T14:36:00Z	Bunn	North Carolina	United States		N205HL	142	FALSE	Aviation	DirectorBrief	7/16/2021 0:00	2021-07-06T19:00:00Z	Serious	0	1	0	1		The pilot's failure to maintain adequate clearance from trees during an off-airport landing.	""Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Not attained/maintained", Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot," Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Awareness of condition""		35.960999999999999	-78.2536	GLASFLUGEL	CLUB LIBELLE 205	GLI	7NC5	Crooked Creek Private  Airport	false	0			PERS	091	Substantial	VMC		Approach	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102459	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102459/pdf",,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	ERA21LA088	ACC	102458	2020-12-27T14:00:00Z	Cleveland	Georgia	United States		N5939D	22-4602	FALSE	Aviation	DirectorBrief	11/4/2022 0:00	2022-10-20T19:00:00Z	Minor	0	0	2	2	0	A total loss of engine power due to carburetor icing.	Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Conducive to carburetor icing - Effect on equipment		34.573720000000002	-83.715817	PIPER	PA-22-150	AIR			false	1	REC		PERS	091	Substantial	VMC		Maneuvering	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102458	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102458/pdf",,,,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	ERA21LA090	ACC	102463	2020-12-26T18:39:00Z	Locust Grove	Georgia	United States		N75825	17267982	FALSE	Aviation	DirectorBrief	9/20/2021 0:00	2021-08-26T19:00:00Z	None	0	0	0	0	0	""The pilot’s improper recovery from a bounced landing"," which resulted in a loss of directional control and subsequent runway excursion.""	""Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot"," Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained""		33.364091000000002	-84.168888	CESSNA	172	AIR	GA04	MALLARDS LANDING	false	1	REC		PERS	091	Substantial	VMC	PATRICK RONALD D	Landing	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102463	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102463/pdf",,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	CEN21LA098	ACC	102457	2020-12-26T12:30:00Z	Waldron	Missouri	United States		N895BT	CH2-0217-2912	FALSE	Aviation	DirectorBrief	7/16/2021 0:00	2021-07-07T18:00:00Z	Serious	0	1	0	1		The pilot’s improper landing flare during the rejected takeoff that resulted in a hard landing and nose landing gear collapse.	""Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained"," Personnel issues - Action/decision - Action - Incorrect action performance - Pilot""		39.230666999999997	-94.801305	Quad City Aircraft Corp	Challenger II	AIR	06MO	NOAH'S ARK	false	1	REC		PERS	091	Substantial	VMC		Landing	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102457	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102457/pdf",,,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	GAA21WA031	ACC	102673	2020-12-26T04:47:00Z	Sela	Other Foreign	Indonesia		PK-SNR		FALSE	Aviation				None	0	0	0	0							CESSNA	208	AIR			false					NUSN	Substantial			Landing	N/A		Prelim		None",,,,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	WPR21LA074	ACC	102455	2020-12-25T18:19:00Z	Peoria	Arizona	United States		N6534A	S60A-3071	FALSE	Aviation	DirectorBrief	9/20/2021 0:00		Minor	0	0	1	1		The pilot’s encounter with an updraft which resulted in a loss of aircraft control and subsequent collision with powerlines.	""Environmental issues - Conditions/weather/phenomena - Wind - Updraft - Effect on operation", Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot," Environmental issues - Physical environment - Object/animal/substance - Wire - Effect on equipment""		33.570500000000003	-112.2503	AEROSTAR INTERNATIONAL INC	S-60A	BALL			false	0		NSCH	AOBV	091	Substantial	VMC		Landing	Completed		Final		https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102455/pdf",,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	ENG21WA009	INC	102462	2020-12-25T13:37:00Z	Johannesburg		South Africa		ZS-SJR	32631	FALSE	Aviation															BOEING	737	AIR	JNB	""Johannesburg"," South Africa""	false	2		SCHD		NUSC	None		Safair	Enroute	N/A		Prelim		None",,,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	CEN21LA100	ACC	102461	2020-12-24T15:40:00Z	Pecatonica	Illinois	United States		N610DJ	0959	FALSE	Aviation	DirectorBrief	7/12/2022 0:00	2022-06-21T04:00:00Z	Serious	0	1	0	1		""A total loss of engine power for reasons that could not be determined based on the available information", and the pilot’s exceedance of the airplane’s critical angle of attack following the loss of engine power," which resulted in an aerodynamic stall/spin and impact with terrain.""	""Aircraft - Aircraft power plant - Engine (reciprocating) - (general) - Unknown/Not determined", Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot," Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Capability exceeded""		42.303868000000001	-89.344838	WALTON DANIEL J	SONEX	AIR	8IL5	Pecatonica	true	1		NSCH	PERS	091	Substantial	VMC	Pilot	Approach	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102461	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102461/pdf",,,,,,,,,,,,,,,,,,,
"cases2020.csv	DCA21LA058	ACC	102469	2020-12-23T13:30:00Z	Houston	Texas	United States		N463UA	1282	FALSE	Aviation	DirectorBrief	1/6/2022 0:00	2022-01-06T05:00:00Z	Serious	0	1	0	1		an encounter with forecasted convective turbulence during approach.	Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel		29.816516	-95.442813	AIRBUS INDUSTRIE	A320-232	AIR			false	2	TF	SCHD		121	None	VMC	United Airlines	Approach	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102469	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102469/pdf",,,,,,,,,,,,,,,,,,,,,,,
